record_index,redaction,release_date,title,type,video_pairing,pdf_pairing,description,dvids_video_id,video_title,agency,incident_date,incident_location,asset_url,modal_image,local_path,local_filename,local_size,sha256
1,,5/8/26,65_HS1-834228961_62-HQ-83894_Section_10,PDF,,,"The FBI's 62-HQ-83894 case file includes investigative records, eyewitness testimonies, and public reports concerning Unidentified Flying Objects and flying discs documented between June 1947 and July 1968. The records include high-profile incident accounts, photographic evidence from sites like Oak Ridge, TN, and technical proposals regarding potential propulsion systems. Additional topics include convention programs, researcher accounts, and extensive media coverage from the period.  This file is partially posted on FBI vault with more redactions and some pages missing.  Included here is the complete case file with several newly declassified pages and only minor redactions.",,,FBI,N/A,N/A,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_10.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/65_hs1-834228961_62-hq-83894_section_10.jpg,./pdfs/65_hs1-834228961_62-hq-83894_section_10.pdf,65_hs1-834228961_62-hq-83894_section_10.pdf,106167501,06f96d67fa825b5aefe41bd60e6f3860d71320e2aa436a2bf30240e12c33d0f0
2,,5/8/26,65_HS1-834228961_62-HQ-83894_Section_2,PDF,,,"The FBI's 62-HQ-83894 case file includes investigative records, eyewitness testimonies, and public reports concerning Unidentified Flying Objects and flying discs documented between June 1947 and July 1968. The records include high-profile incident accounts, photographic evidence from sites like Oak Ridge, TN, and technical proposals regarding potential propulsion systems. Additional topics include convention programs, researcher accounts, and extensive media coverage from the period.  This file is partially posted on FBI vault with more redactions and some pages missing.  Included here is the complete case file with several newly declassified pages and only minor redactions.",,,FBI,N/A,N/A,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_2.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/65_hs1-834228961_62-hq-83894_section_2.jpg,./pdfs/65_hs1-834228961_62-hq-83894_section_2.pdf,65_hs1-834228961_62-hq-83894_section_2.pdf,118380300,e196678aefbf9d1239524925838250d452ac3155789d226d6ebe0158b915070e
3,,5/8/26,65_HS1-834228961_62-HQ-83894_Section_3,PDF,,,"The FBI's 62-HQ-83894 case file includes investigative records, eyewitness testimonies, and public reports concerning Unidentified Flying Objects and flying discs documented between June 1947 and July 1968. The records include high-profile incident accounts, photographic evidence from sites like Oak Ridge, TN, and technical proposals regarding potential propulsion systems. Additional topics include convention programs, researcher accounts, and extensive media coverage from the period.  This file is partially posted on FBI vault with more redactions and some pages missing.  Included here is the complete case file with several newly declassified pages and only minor redactions.",,,FBI,N/A,N/A,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_3.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/65_hs1-834228961_62-hq-83894_section_3.jpg,./pdfs/65_hs1-834228961_62-hq-83894_section_3.pdf,65_hs1-834228961_62-hq-83894_section_3.pdf,50907255,1a9e21457d266c408a9982485034fed73ebdbede94b3c8322ee024eaa60cfe57
4,,5/8/26,65_HS1-834228961_62-HQ-83894_Section_4,PDF,,,"The FBI's 62-HQ-83894 case file includes investigative records, eyewitness testimonies, and public reports concerning Unidentified Flying Objects and flying discs documented between June 1947 and July 1968. The records include high-profile incident accounts, photographic evidence from sites like Oak Ridge, TN, and technical proposals regarding potential propulsion systems. Additional topics include convention programs, researcher accounts, and extensive media coverage from the period.  This file is partially posted on FBI vault with more redactions and some pages missing.  Included here is the complete case file with several newly declassified pages and only minor redactions.",,,FBI,N/A,N/A,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_4.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/65_hs1-834228961_62-hq-83894_section_4.jpg,./pdfs/65_hs1-834228961_62-hq-83894_section_4.pdf,65_hs1-834228961_62-hq-83894_section_4.pdf,92073029,1ddb6ef944239c55b86c1089246cd77aadd1d3d391238a1feeab700f7b773d7b
5,,5/8/26,65_HS1-834228961_62-HQ-83894_Section_5,PDF,,,"The FBI's 62-HQ-83894 case file includes investigative records, eyewitness testimonies, and public reports concerning Unidentified Flying Objects and flying discs documented between June 1947 and July 1968. The records include high-profile incident accounts, photographic evidence from sites like Oak Ridge, TN, and technical proposals regarding potential propulsion systems. Additional topics include convention programs, researcher accounts, and extensive media coverage from the period.  This file is partially posted on FBI vault with more redactions and some pages missing.  Included here is the complete case file with several newly declassified pages and only minor redactions.",,,FBI,N/A,N/A,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_5.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/65_hs1-834228961_62-hq-83894_section_5.jpg,./pdfs/65_hs1-834228961_62-hq-83894_section_5.pdf,65_hs1-834228961_62-hq-83894_section_5.pdf,58041955,8bac3aeb023a716259510a74b1264cc38f16b3a012e420e1551a163e4df57573
6,,5/8/26,65_HS1-834228961_62-HQ-83894_Section_6,PDF,,,"The FBI's 62-HQ-83894 case file includes investigative records, eyewitness testimonies, and public reports concerning Unidentified Flying Objects and flying discs documented between June 1947 and July 1968. The records include high-profile incident accounts, photographic evidence from sites like Oak Ridge, TN, and technical proposals regarding potential propulsion systems. Additional topics include convention programs, researcher accounts, and extensive media coverage from the period.  This file is partially posted on FBI vault with more redactions and some pages missing.  Included here is the complete case file with several newly declassified pages and only minor redactions.",,,FBI,N/A,N/A,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_6.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/65_hs1-834228961_62-hq-83894_section_6.jpg,./pdfs/65_hs1-834228961_62-hq-83894_section_6.pdf,65_hs1-834228961_62-hq-83894_section_6.pdf,370571478,3df0935cf48e6847d0a5df77a987f8a446e545cc1dda20cad60f79d966516568
7,,5/8/26,65_HS1-834228961_62-HQ-83894_Section_7,PDF,,,"The FBI's 62-HQ-83894 case file includes investigative records, eyewitness testimonies, and public reports concerning Unidentified Flying Objects and flying discs documented between June 1947 and July 1968. The records include high-profile incident accounts, photographic evidence from sites like Oak Ridge, TN, and technical proposals regarding potential propulsion systems. Additional topics include convention programs, researcher accounts, and extensive media coverage from the period.  This file is partially posted on FBI vault with more redactions and some pages missing.  Included here is the complete case file with several newly declassified pages and only minor redactions.",,,FBI,N/A,N/A,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_7.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/65_hs1-834228961_62-hq-83894_section_7.jpg,./pdfs/65_hs1-834228961_62-hq-83894_section_7.pdf,65_hs1-834228961_62-hq-83894_section_7.pdf,62687106,d1cc1285f2af2229df0f6a50dae11e72b943d94e95fb7effb34ba3433c12d82e
8,,5/8/26,65_HS1-834228961_62-HQ-83894_Section_9,PDF,,,"The FBI's 62-HQ-83894 case file includes investigative records, eyewitness testimonies, and public reports concerning Unidentified Flying Objects and flying discs documented between June 1947 and July 1968. The records include high-profile incident accounts, photographic evidence from sites like Oak Ridge, TN, and technical proposals regarding potential propulsion systems. Additional topics include convention programs, researcher accounts, and extensive media coverage from the period.  This file is partially posted on FBI vault with more redactions and some pages missing.  Included here is the complete case file with several newly declassified pages and only minor redactions.",,,FBI,N/A,N/A,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_9.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/65_hs1-834228961_62-hq-83894_section_9.jpg,./pdfs/65_hs1-834228961_62-hq-83894_section_9.pdf,65_hs1-834228961_62-hq-83894_section_9.pdf,91452111,ca1684b554c662851028c03a8861028e04f1d813e5621ffbb888b8eac87e9fce
9,,5/8/26,65_HS1-834228961_62-HQ-83894_Serial_130,PDF,,,"The FBI's 62-HQ-83894 case file includes investigative records, eyewitness testimonies, and public reports concerning Unidentified Flying Objects and flying discs documented between June 1947 and July 1968. The records include high-profile incident accounts, photographic evidence from sites like Oak Ridge, TN, and technical proposals regarding potential propulsion systems. Additional topics include convention programs, researcher accounts, and extensive media coverage from the period.  This file is partially posted on FBI vault with more redactions and some pages missing.  Included here is the complete case file with several newly declassified pages and only minor redactions.",,,FBI,N/A,N/A,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_130.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/65_hs1-834228961_62-hq-83894_serial_130.jpg,./pdfs/65_hs1-834228961_62-hq-83894_serial_130.pdf,65_hs1-834228961_62-hq-83894_serial_130.pdf,106690293,6446322736ff970386c35f5d305a9d245e632e80f53594ca948718cefd8669a9
10,,5/8/26,65_HS1-834228961_62-HQ-83894_Serial_153,PDF,,,"The FBI's 62-HQ-83894 case file includes investigative records, eyewitness testimonies, and public reports concerning Unidentified Flying Objects and flying discs documented between June 1947 and July 1968. The records include high-profile incident accounts, photographic evidence from sites like Oak Ridge, TN, and technical proposals regarding potential propulsion systems. Additional topics include convention programs, researcher accounts, and extensive media coverage from the period.  This file is partially posted on FBI vault with more redactions and some pages missing.  Included here is the complete case file with several newly declassified pages and only minor redactions.",,,FBI,N/A,N/A,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_153.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/65_hs1-834228961_62-hq-83894_serial_153.jpg,./pdfs/65_hs1-834228961_62-hq-83894_serial_153.pdf,65_hs1-834228961_62-hq-83894_serial_153.pdf,5546075,fbb76ffa1aad67e53d98e189b557ee3f893d2374ca28ae93862a79db20908db6
