case_id,database_complete,provenance_complete,ocr_complete,hq_ocr_complete,video_analysis_complete,image_analysis_complete,witness_matrix_complete,witness_human_review_complete,environmental_complete,classification_final,missing_items_json,updated_at
1,1,1,1,0,1,1,0,0,0,0,"[""complete environmental controls"", ""final classification after controls""]",2026-05-10T16:15:55.958450+00:00
2,1,1,1,0,1,1,0,0,0,0,"[""complete environmental controls"", ""final classification after controls""]",2026-05-10T16:15:55.958450+00:00
3,1,1,1,0,1,1,0,0,0,0,"[""complete environmental controls"", ""final classification after controls""]",2026-05-10T16:15:55.958450+00:00
4,1,1,1,0,1,1,0,0,0,0,"[""complete environmental controls"", ""final classification after controls""]",2026-05-10T16:15:55.958450+00:00
5,1,1,1,0,1,1,0,0,0,0,"[""complete environmental controls"", ""final classification after controls""]",2026-05-10T16:15:55.958450+00:00
6,1,1,1,0,1,1,0,0,0,0,"[""complete environmental controls"", ""final classification after controls""]",2026-05-10T16:15:55.958450+00:00
7,1,1,1,0,1,1,0,0,0,0,"[""complete environmental controls"", ""final classification after controls""]",2026-05-10T16:15:55.958450+00:00
8,1,1,1,0,1,1,0,0,0,0,"[""complete environmental controls"", ""final classification after controls""]",2026-05-10T16:15:55.958450+00:00
9,1,1,1,0,1,1,0,0,0,0,"[""complete environmental controls"", ""final classification after controls""]",2026-05-10T16:15:55.958450+00:00
10,1,1,1,0,1,1,0,0,0,0,"[""complete environmental controls"", ""final classification after controls""]",2026-05-10T16:15:55.958450+00:00
11,1,1,1,0,1,1,0,0,0,0,"[""complete environmental controls"", ""final classification after controls""]",2026-05-10T16:15:55.958450+00:00
12,1,1,1,0,1,1,0,0,0,0,"[""complete environmental controls"", ""final classification after controls""]",2026-05-10T16:15:55.958450+00:00
13,1,1,1,0,1,1,0,0,0,0,"[""complete environmental controls"", ""final classification after controls""]",2026-05-10T16:15:55.958450+00:00
14,1,1,1,0,1,1,0,0,0,0,"[""complete environmental controls"", ""final classification after controls""]",2026-05-10T16:15:55.958450+00:00
15,1,1,1,0,1,1,0,0,0,0,"[""complete environmental controls"", ""final classification after controls""]",2026-05-10T16:15:55.958450+00:00
