claim_id,case_id,title,source_page,claim_type,directness,independence_status,time_stated,location_stated,shape,color_brightness,motion,sound,duration,sensor,page_avg_confidence,review_status,source_quote,source_text_path
1,22,"331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents",2,object_description,not_assessed,not_assessed,,,,,,,,,76.81,needs_human_review,"111/45/DD 78a) (2/945 BALES CF FIRE = ay, 1 The papers dealing with : the abowe subject which you en- closed With your memo SHAEF Air/ TS.57153/A2 dated llth February, have been carefully examined and discussed with the various other Departments concerned, Bomber Command crews have for some time been reporting simi-~- lar phenonema, A few of the alleged aircraft may have been Me.",./hq_ocr/tesseract/022-331_120752_numeric_files_1944-1945_37153_german_armament_equipment_documents-p0002.txt
2,22,"331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents",3,object_description,not_assessed,not_assessed,,,object,,,,,,65.95,needs_human_review,"‘ Reference your letter dated 12 March asking that — ' photoes be furnished as mentioned in our Signal -.1.580 argted\4 March, this office has sines been inform3d by HQe IX TAC, That the pictures of ""Long cylindrical objects"" claime?",./hq_ocr/tesseract/022-331_120752_numeric_files_1944-1945_37153_german_armament_equipment_documents-p0003.txt
3,22,"331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents",6,object_description,not_assessed,not_assessed,,,object,,,,,,56.62,needs_human_review,"ie | ih iy j Sp 5 - ps ~ 6 FPN Ed fe ) =H MARI945 | | Ce 3 RR Sto ales Y Sap \0"" a Me DISTRIBUTION 7 SSR a i a |v | | , | ) aN FROMs HQ IX TAC @511@2A TOs AIR STAFF SeHeAeEeFe FORWARD | -SEGREF QQY BT REFERENCE YOUR MESSAGE AI«329 DATED @41745A% PHOTOS OF LONG CYLINDRICAL OBJECTS TAKEN BY 67TH TAC/R PILOTS 911939 VICINITY F-57109 WERE UNSUCC+ | ESSFUL, FULL WRITTEN REPORT WILL FOLLOW.",./hq_ocr/tesseract/022-331_120752_numeric_files_1944-1945_37153_german_armament_equipment_documents-p0006.txt
4,22,"331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents",7,object_description,not_assessed,not_assessed,,,object,,,,,,52.33,needs_human_review,"MNTH 5 _TAC AIR COMMAND | DATED 1 MARCH QUOTE PILOTS | REPORT FOLLOWING} AN ALUMINUM 10 | ""COLOURED | CYLINDER ____ SHAPED OBJECT | C@MMA ABOUT 12 | FEET LONG © 15 _AND 1 FOOT IN...",./hq_ocr/tesseract/022-331_120752_numeric_files_1944-1945_37153_german_armament_equipment_documents-p0007.txt
5,22,"331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents",7,witness_observation,direct_or_interviewed_observation,not_assessed,,,,,,,,,52.33,needs_human_review,"| DIAMETER WAS OBSERVED FLOATING IN THE } ATR AT 20 _9,000 FEET (.",./hq_ocr/tesseract/022-331_120752_numeric_files_1944-1945_37153_german_armament_equipment_documents-p0007.txt
6,22,"331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents",7,object_description,not_assessed,not_assessed,,,object,RED,,,,,52.33,needs_human_review,"THR | OBJECT wAS | __ ATTACKED AND | PARTTATIY DEFLATED 35 _COMMA A RED.",./hq_ocr/tesseract/022-331_120752_numeric_files_1944-1945_37153_german_armament_equipment_documents-p0007.txt
7,22,"331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents",9,object_description,not_assessed,not_assessed,,,object,,,,,,67.74,needs_human_review,"An aluminum colored cylinder shéped object, about le ft long and 1 ft in diameter was observea floating in the &6ir at G,000 ft.",./hq_ocr/tesseract/022-331_120752_numeric_files_1944-1945_37153_german_armament_equipment_documents-p0009.txt
8,22,"331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents",9,object_description,not_assessed,not_assessed,,,object,red,,,,,67.74,needs_human_review,"Object was &btauked ane partially deflated, a red flame resulted without smoke.",./hq_ocr/tesseract/022-331_120752_numeric_files_1944-1945_37153_german_armament_equipment_documents-p0009.txt
9,22,"331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents",9,object_description,not_assessed,not_assessed,,,,,,,,,67.74,needs_human_review,"3 THE MAKING OF AN EXACT COPY OF THIS MESSAGE iS FORBIDDEN Aare fe",./hq_ocr/tesseract/022-331_120752_numeric_files_1944-1945_37153_german_armament_equipment_documents-p0009.txt
10,22,"331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents",11,object_description,not_assessed,not_assessed,,,,,,,,,66.1,needs_human_review,"behing the matter, aud in view of the fact that.pilots and crews = — ‘ere becoming elightly worried by them, it is considered that 15 everything possible should be done to get to the root of the : 2.",./hq_ocr/tesseract/022-331_120752_numeric_files_1944-1945_37153_german_armament_equipment_documents-p0011.txt
